final_theme,initial_code,occurrences,hierarchy_path
Functional Fit and Wearability,Pajama-like appearance,3,"Pajama-like appearance -> Material handfeel and structure -> Fabric, Material Feel, Comfort, and Wearability -> Fabric, Material Feel, Comfort, and Wearability -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Recommend sizing down,3,"Recommend sizing down -> Fit, Sizing, and Proportions -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Roomy fit,3,"Roomy fit -> Fit, sizing, and body-proportion compatibility -> Fit, Silhouette, Coverage, and Proportion -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Sizing up improves fit,3,"Sizing up improves fit -> Fit, sizing, and proportions -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Soft and comfortable fabric,3,"Soft and comfortable fabric -> Fabric feel, comfort, and wearability -> Comfort, Fabric, and Wearability -> Fabric, Material Feel, Comfort, and Wearability -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Thin fabric,3,"Thin fabric -> Comfort, softness, and wearability -> Comfort, Fabric, and Wearability -> Fabric, Material Feel, Comfort, and Wearability -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Versatile layering piece,3,"Versatile layering piece -> Coverage, layering, and styling functionality -> Fit, Silhouette, Coverage, and Proportion -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Accurate petite sizing,2,"Accurate petite sizing -> Flattering fit, sizing accuracy, and proportion -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Alterations improved fit,2,"Alterations improved fit -> Fit, sizing, and body-shape compatibility -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Anticipated frequent use,2,"Anticipated frequent use -> Seasonal and Lifestyle Versatility -> Versatility, Styling, Layering, and Occasion Suitability -> Versatility, Coordination, Occasion Suitability, and Functionality -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Beautiful fabric,2,"Beautiful fabric -> Fabric comfort and feel -> Fabric, Material Feel, Comfort, and Wearability -> Fabric, Material Feel, Comfort, and Wearability -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Boxy fit,2,"Boxy fit -> Fit, sizing, and proportions -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Comfortable fabric,2,"Comfortable fabric -> Comfort, fabric, and wearability -> Comfort, Fabric, and Wearability -> Fabric, Material Feel, Comfort, and Wearability -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Convenient pockets,2,"Convenient pockets -> Versatility and intended use -> Versatility, Styling, Layering, and Occasion Suitability -> Versatility, Coordination, Occasion Suitability, and Functionality -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Dress runs small,2,"Dress runs small -> Fit, sizing, and silhouette -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Easy to wear,2,"Easy to wear -> Versatility and Ease of Styling -> Versatility, Styling, Layering, and Occasion Suitability -> Versatility, Coordination, Occasion Suitability, and Functionality -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Flattering A-line silhouette,2,"Flattering A-line silhouette -> Fit, Silhouette, and Body-Proportion Experience -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Flattering cropped fit,2,"Flattering cropped fit -> Fit, sizing, and body-shape compatibility -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Flattering cut,2,"Flattering cut -> Flattering and Unflattering Design Effects -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Garment loosens with wear,2,"Garment loosens with wear -> Fit, sizing, and proportions -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Inconsistent brand sizing,2,"Inconsistent brand sizing -> Fit, sizing, and proportions -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Layering versatility,2,"Layering versatility -> Coverage and layering -> Versatility, Styling, Layering, and Occasion Suitability -> Versatility, Coordination, Occasion Suitability, and Functionality -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Limited fabric stretch,2,"Limited fabric stretch -> Flattering fit, sizing accuracy, and proportion -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Longer-than-expected length,2,"Longer-than-expected length -> Fit, sizing, and silhouette -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,No alterations needed,2,"No alterations needed -> Fit, sizing, and body-proportion compatibility -> Fit, Silhouette, Coverage, and Proportion -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Non-stretch fabric,2,"Non-stretch fabric -> Comfort, Fabric, and Wearability -> Fabric, Material Feel, Comfort, and Wearability -> Fabric, Material Feel, Comfort, and Wearability -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Pairs well with jeans,2,"Pairs well with jeans -> Versatility and intended use -> Versatility, Styling, Layering, and Occasion Suitability -> Versatility, Coordination, Occasion Suitability, and Functionality -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Petite sizing fits well,2,"Petite sizing fits well -> Fit, sizing, and proportions -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Petite-friendly length,2,"Petite-friendly length -> Length and proportion -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Returning due to fit,2,"Returning due to fit -> Fit, sizing, and silhouette -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Runs extremely small,2,"Runs extremely small -> Fit, Sizing, and Body Shape -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Runs slightly small,2,"Runs slightly small -> Fit, sizing, and proportions -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Runs small; size up,2,"Runs small; size up -> Fit, sizing, and silhouette -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Runs true to size,2,"Runs true to size -> Fit, sizing, and proportions -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Runs two sizes large,2,"Runs two sizes large -> Fit, sizing, and proportions -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Runs very small,2,"Runs very small -> Fit, Sizing, and Proportion -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Seasonal wardrobe staple,2,"Seasonal wardrobe staple -> Versatility, layering, and seasonal suitability -> Versatility, Styling, Layering, and Occasion Suitability -> Versatility, Coordination, Occasion Suitability, and Functionality -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Sheer fabric,2,"Sheer fabric -> Fabric Comfort, Feel, and Weight -> Fabric, Material Feel, Comfort, and Wearability -> Fabric, Material Feel, Comfort, and Wearability -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Short length,2,"Short length -> Fit, sizing, and body-shape compatibility -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Size small fits,2,"Size small fits -> Fit, sizing, and proportions -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Size up recommended,2,"Size up recommended -> Fit, sizing, and garment proportions -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Sizing down improves fit,2,"Sizing down improves fit -> Fit, Sizing, and Body Shape -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Sizing down recommended,2,"Sizing down recommended -> Fit, sizing, and proportions -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Sizing up recommended,2,"Sizing up recommended -> Fit, sizing, and garment proportions -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Slightly oversized fit,2,"Slightly oversized fit -> Fit, sizing, and proportions -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Soft comfortable fabric,2,"Soft comfortable fabric -> Comfort, fabric, and wearability -> Comfort, Fabric, and Wearability -> Fabric, Material Feel, Comfort, and Wearability -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,"Soft, flattering fabric",2,"Soft, flattering fabric -> Fabric comfort and feel -> Fabric, Material Feel, Comfort, and Wearability -> Fabric, Material Feel, Comfort, and Wearability -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Softens after washing,2,"Softens after washing -> Comfort, fabric, and wearability -> Comfort, Fabric, and Wearability -> Fabric, Material Feel, Comfort, and Wearability -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Suitable for casual office,2,"Suitable for casual office -> Seasonal and Lifestyle Versatility -> Versatility, Styling, Layering, and Occasion Suitability -> Versatility, Coordination, Occasion Suitability, and Functionality -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Tight chest fit,2,"Tight chest fit -> Fit, sizing, and silhouette -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,True-to-size sizing,2,"True-to-size sizing -> Fit, sizing, and proportions -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Unflattering fit,2,"Unflattering fit -> Fit, sizing, and silhouette -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Versatile casual styling,2,"Versatile casual styling -> Style versatility and outfit coordination -> Style Versatility, Coordination, and Functionality -> Versatility, Coordination, Occasion Suitability, and Functionality -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Versatile for work and outings,2,"Versatile for work and outings -> Versatility and intended use -> Versatility, Styling, Layering, and Occasion Suitability -> Versatility, Coordination, Occasion Suitability, and Functionality -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Versatile seasonal styling,2,"Versatile seasonal styling -> Versatility and styling utility -> Versatility, Styling, Layering, and Occasion Suitability -> Versatility, Coordination, Occasion Suitability, and Functionality -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Year-round wearability,2,"Year-round wearability -> Styling, occasions, and wearability -> Style Versatility, Coordination, and Functionality -> Versatility, Coordination, Occasion Suitability, and Functionality -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,100% cotton fabric,1,"100% cotton fabric -> Fabric feel, breathability, and wearability -> Comfort, Fabric, and Wearability -> Fabric, Material Feel, Comfort, and Wearability -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,70s-inspired design appeal,1,"70s-inspired design appeal -> Style, silhouette, and design appeal -> Fit, Silhouette, Coverage, and Proportion -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,A-line hip width,1,"A-line hip width -> Fit, sizing, and silhouette -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,A-line shape unflattering,1,"A-line shape unflattering -> Silhouette and shape appeal or dissatisfaction -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Above-knee length,1,"Above-knee length -> Fit, Sizing, and Proportions -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Accentuates hips,1,"Accentuates hips -> Fit, sizing, and body-shape compatibility -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Acceptable length,1,"Acceptable length -> Fit, sizing, and garment proportions -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Accessory-friendly design,1,"Accessory-friendly design -> Style versatility and outfit coordination -> Style Versatility, Coordination, and Functionality -> Versatility, Coordination, Occasion Suitability, and Functionality -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Accommodates bulky layers,1,"Accommodates bulky layers -> Style versatility and outfit coordination -> Style Versatility, Coordination, and Functionality -> Versatility, Coordination, Occasion Suitability, and Functionality -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Accurate fit,1,"Accurate fit -> Fit, sizing, and body-proportion compatibility -> Fit, Silhouette, Coverage, and Proportion -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Accurate fit and length,1,"Accurate fit and length -> Garment Length and Coverage -> Fit, Silhouette, Coverage, and Proportion -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Accurate size 2 fit,1,"Accurate size 2 fit -> Fit, Sizing, and Proportion -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Accurate size fit,1,"Accurate size fit -> Fit, sizing, and garment proportions -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Accurate size selection,1,"Accurate size selection -> Fit, sizing, and proportions -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Accurate sizing across sizes,1,"Accurate sizing across sizes -> Fit, sizing, and proportions -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Accurate sizing and perfect fit,1,"Accurate sizing and perfect fit -> Fit, sizing, and proportions -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Adds quick style,1,"Adds quick style -> Style, silhouette, and design appeal -> Fit, Silhouette, Coverage, and Proportion -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Adds warmth without bulk,1,"Adds warmth without bulk -> Comfort, softness, and everyday wearability -> Fabric, Material Feel, Comfort, and Wearability -> Fabric, Material Feel, Comfort, and Wearability -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Adequate coverage,1,"Adequate coverage -> Comfort and everyday wear experience -> Fabric, Material Feel, Comfort, and Wearability -> Fabric, Material Feel, Comfort, and Wearability -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Adequate hem clearance,1,"Adequate hem clearance -> Fit, sizing, and proportions -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Adjustable bust tie,1,"Adjustable bust tie -> Fit, sizing, and garment proportions -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Adjustable casual styling,1,"Adjustable casual styling -> Coverage, layering, and styling functionality -> Fit, Silhouette, Coverage, and Proportion -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Adjustable neckline coverage,1,"Adjustable neckline coverage -> Design details and functionality -> Functionality, Coverage, and Practical Garment Features -> Versatility, Coordination, Occasion Suitability, and Functionality -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Adjustable sash improves fit,1,"Adjustable sash improves fit -> Flattering fit, sizing accuracy, and proportion -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Adjustable tie detail,1,"Adjustable tie detail -> Coverage, layering, and garment functionality -> Versatility, Styling, Layering, and Occasion Suitability -> Versatility, Coordination, Occasion Suitability, and Functionality -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Aesthetics and comfort aligned,1,"Aesthetics and comfort aligned -> Comfort, softness, and wearability -> Comfort, Fabric, and Wearability -> Fabric, Material Feel, Comfort, and Wearability -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Amazing feel,1,"Amazing feel -> Comfort and everyday wear experience -> Fabric, Material Feel, Comfort, and Wearability -> Fabric, Material Feel, Comfort, and Wearability -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
